Price,Age,KM,HP,MetColor,Automatic,CC,Doors,Weight,FuelType_CNG,FuelType_Diesel,FuelType_Petrol
13500,-1.824056209812685,-0.5834762007904739,-0.77899333967671,1,0,2.3149763342965377,-1.0851386450733238,1.7585611312732847,0,1,0
13750,-1.824056209812685,0.1155508474588689,-0.77899333967671,1,0,2.3149763342965377,-1.0851386450733238,1.7585611312732847,0,1,0
13950,-1.7682661199875302,-0.7255658188982649,-0.77899333967671,1,0,2.3149763342965377,-1.0851386450733238,1.7585611312732847,0,1,0
14950,-1.6566859403372207,-0.5561626704091848,-0.77899333967671,0,0,2.3149763342965377,-1.0851386450733238,1.7585611312732847,0,1,0
13750,-1.4335255810366017,-0.8120586651056804,-0.77899333967671,0,0,2.3149763342965377,-1.0851386450733238,1.8535770011978994,0,1,0
12950,-1.3219454013862921,-0.20598920398240136,-0.77899333967671,0,0,2.3149763342965377,-1.0851386450733238,1.8535770011978994,0,1,0
16900,-1.6008958505120658,-6.3964619696220145e-06,-0.032332005117650144,1,0,2.3149763342965377,-1.0851386450733238,3.278815050067119,0,1,0
18600,-1.4335255810366017,0.1950671607582431,-0.77899333967671,1,0,2.3149763342965377,-1.0851386450733238,3.278815050067119,0,0,1
21500,-1.6008958505120658,-1.3184633703997979,6.144593580780027,0,0,1.2461277916743934,-1.0851386450733238,2.1386246109717435,0,0,1
12950,-1.824056209812685,0.06709222698950094,-0.032332005117650144,1,0,1.7805520629854654,-1.0851386450733238,0.618370692177909,0,1,0
20950,-1.7124760301623754,-1.0016641289655364,6.144593580780027,0,0,1.2461277916743934,-1.0851386450733238,2.1386246109717435,0,0,1
19950,-1.8798462996378398,-0.6744135563794601,6.144593580780027,0,0,1.2461277916743934,-1.0851386450733238,2.1386246109717435,0,0,1
19600,-1.7124760301623754,-0.9820544148456365,6.144593580780027,0,0,1.2461277916743934,-1.0851386450733238,2.1386246109717435,0,0,1
21500,-1.377735491211447,-1.2295731827683836,6.144593580780027,1,0,1.2461277916743934,-1.0851386450733238,2.1386246109717435,0,0,1
22500,-1.3219454013862921,-0.9297438862455739,6.144593580780027,1,0,1.2461277916743934,-1.0851386450733238,2.1386246109717435,0,0,1
22000,-1.5451057606869112,-1.3443492704948854,-0.032332005117650144,0,0,1.2461277916743934,-1.0851386450733238,2.1386246109717435,0,0,1
22750,-1.4335255810366017,-0.9332725573303361,6.144593580780027,1,0,1.2461277916743934,-1.0851386450733238,2.1386246109717435,0,0,1
17950,-1.7682661199875302,-1.2641595466831521,0.5785727231579444,1,0,0.17727924905224904,-1.0851386450733238,0.618370692177909,0,0,1
16750,-1.7682661199875302,-1.1605351370413186,0.5785727231579444,0,0,0.17727924905224904,-1.0851386450733238,-0.14175626721900828,0,0,1
